Pair_Type,Query_Sentence_Pattern,Response_Sentence
การทักทาย,สวัสดี,สวัสดีครับ ต้องการสอบถามเรื่องอะไรครับ
การฝึกงาน,สอบถาม การฝึกงาน,ต้องการสอบถามอะไรของการฝึกงานเหรอครับ
การฝึกงาน_เกณฑ์,เกณฑ์ ภาควิชา อย่างไรบ้าง,ต้องผ่านรายวิชาของภาคเป็นจำนวน 80% ของทั้งหมดก่อนครับ
การจากลา,ขอบคุณ,ครับ ยินดีครับ
การฝึกงาน_หน่วยกิตขั้นต่ำ,ทราบ ลงทะเบียน กี่ หน่วยกิต ลงทะเบียน วิชา ฝึกงาน เหรอ,"ต้องผ่านรายวิชาของทางภาควิชาที่เป็นของปี 1 , ปี 2 และ ปี 3 เทอม 1 จำนวน 48 หน่วยกิตก่อนครับ ถึงจะมีสิทธิ์ฝึกงานได้ครับ"
วิชาเปิดสอน_เทอม_1,วิชา สอน เทอม 1,"ก็จะมีวิชา อินโทรคอม แล้วก็ แล็ปซอฟแวร์ ตัวที่ 1 ของปี 2, ปี 3 แล้วก็ แล็ปฮาร์ดแวร์ ตัวที่ 1 ของปี 2, ปี 3 แล้วก็ เซอร์กิต แล้วก็ อินโทร เน็ตเวิร์ก แล้วก็ การเขียนโปรแกรมตัวที่ 1 แล้วก็ ดิจิตอลโลจิก แล้วก็ คอม อินจิเนียร์ แมท แล้วก็ อิติก แล้วก็ โอเอส แล้วก็ ดาต้าเบส แล้วก็ ไวร์เลส แล้วก็ คอม อาคิเทคแล้วก็ โปรเจคตัวที่ 1 ครับ"
วิชาเปิดสอน_เทอม_2,วิชา สอน เทอม 2,"ก็จะมีวิชา อินโทรคอม แล้วก็ แล็ปซอฟแวร์ ตัวที่ 2 ของปี 2, ปี 3 แล้วก็ แล็ปฮาร์ดแวร์ ตัวที่ 2 ของปี 2, ปี 3 แล้วก็ การเขียนโปรแกรมตัวที่ 1 และ การเขียนโปรแกรมตัวที่ 2 แล้วก็ วิศวกรรมซอฟแวร์ แล้วก็ แสตท แล้วก็ ดิสครีตแมท แล้วก็ ดาต้า แล้วก็ เตรียมพร้อมการทำโปรเจค แล้วก็ ไมโคร แล้วก็ โปรเจคตัวที่ 2 ครับ"
อาจารย์ผู้สอน_introcom,อาจารย์ ท่าน สอน วิชา อิน โทร คอม เหรอ,มี อาจารย์นิคม อาจารย์อนันท์ อาจารย์อารีย์ อาจารย์สกุณา อาจารย์แสงสุรีย์ อาจารย์ธนาธิป อาจารย์เสกสรรค์ และก็ อาจารย์วีศักดิ์ ครับ
อาจารย์ผู้สอน_LabSoft1_2,อาจารย์ ท่าน สอน วิชา แล็ปซอฟแวร์ ปี 2 เทอม 1 เหรอ,มี อาจารย์ทศพร อาจารย์สุนทร อาจารย์ธัชชัย อาจารย์สมชัย อาจารย์ไพจิตร อาจารย์อารีย์ และ อาจารย์อนันท์ ครับ
อาจารย์ผู้สอน_LabSoft2_2,อาจารย์ ท่าน สอน วิชา แล็ปซอฟแวร์ ปี 2 เทอม 2 เหรอ,มี อาจารย์เพ็ชรัตน์ อาจารย์อารีย์ อาจารย์สมชัย อาจารย์ANDREW อาจารย์นิคม อาจารย์พิชญา อาจารย์อนันท์ และ อาจารย์แสงสุรีย์ ครับ
