response_classes,response_messages,state_setting
ต้องการสอบถาม_ตอบ,สวัสดีครับ ต้องการสอบถามเรื่องอะไรครับ,ต้องการสอบถาม
สอบถามการฝึกงาน_ตอบ,ต้องการสอบถามอะไรของการฝึกงานเหรอครับ,สอบถามการฝึกงาน
การจากลา_ตอบ,ครับ ยินดีครับ,null
การฝึกงาน_หน่วยกิตขั้นต่ำ_ตอบ,"ต้องผ่านรายวิชาของทางภาควิชาที่เป็นของปี 1 , ปี 2 และ ปี 3 เทอม 1 จำนวน 48 หน่วยกิตก่อนครับ ถึงจะมีสิทธิ์ฝึกงานได้ครับ",สอบถามการฝึกงาน
วิชาเปิดสอน_เทอม_1_ตอบ,"ก็จะมีวิชา อินโทรคอม แล้วก็ แล็ปซอฟแวร์ ตัวที่ 1 ของปี 2, ปี 3 แล้วก็ แล็ปฮาร์ดแวร์ ตัวที่ 1 ของปี 2 แล้วก็ แล็ปปี 3 ตัวที่ 1 แล้วก็ เซอร์กิต แล้วก็ อินโทร เน็ตเวิร์ก แล้วก็ การเขียนโปรแกรมตัวที่ 1 แล้วก็ ดิจิตอลโลจิก แล้วก็ คอม อินจิเนียร์ แมท แล้วก็ อิติก แล้วก็ โอเอส แล้วก็ ดาต้าเบส แล้วก็ ไวร์เลส แล้วก็ คอม อาคิเทค แล้วก็ โปรเจคตัวที่ 1 ครับ",null
วิชาเปิดสอน_เทอม_2_ตอบ,"ก็จะมีวิชา อินโทรคอม แล้วก็ แล็ปซอฟแวร์ ตัวที่ 2 ของปี 2, ปี 3 แล้วก็ แล็ปฮาร์ดแวร์ ตัวที่ 2 ของปี 2, แล้วก็ แล็ปปี 3 ตัวที่ 2 แล้วก็ การเขียนโปรแกรมตัวที่ 1 และ การเขียนโปรแกรมตัวที่ 2 แล้วก็ ซอฟเอน แล้วก็ แสตท แล้วก็ ดิสครีตแมท แล้วก็ ดาต้า แล้วก็ เตรียมพร้อมการทำโปรเจค แล้วก็ ไมโคร แล้วก็ อัลกอ แล้วก็ เซอร์ฟเวอร์-ไคล์แอนด์ แล้วก็ ซีเคียว แล้วก็ โปรเจคตัวที่ 2 ครับ",null
อาจารย์ผู้สอน_introcom_ตอบ,มี อาจารย์นิคม อาจารย์อนันท์ อาจารย์อารีย์ อาจารย์สกุณา อาจารย์แสงสุรีย์ อาจารย์ธนาธิป อาจารย์เสกสรรค์ และก็ อาจารย์ทวีศักดิ์ ครับ,null
อาจารย์ผู้สอน_LabSoft1_2_ตอบ,มี อาจารย์ทศพร อาจารย์สุนทร อาจารย์ธัชชัย อาจารย์สมชัย อาจารย์ไพจิตร อาจารย์อารีย์ และ อาจารย์อนันท์ ครับ,null
อาจารย์ผู้สอน_LabSoft2_2_ตอบ,มี อาจารย์เพ็ชรัตน์ อาจารย์อารีย์ อาจารย์สมชัย อาจารย์ANDREW อาจารย์นิคม อาจารย์พิชญา อาจารย์อนันท์ และ อาจารย์แสงสุรีย์ ครับ,null
อาจารย์ผู้สอน_LabHard2_1_ตอบ,มี อาจารย์วชรินทร์ อาจารย์ปัญญยศ อาจารย์ดำรงค์ อาจารย์ธเนศ และ อาจารย์มนตรี ครับ,null
อาจารย์ผู้สอน_LabHard2_2_ตอบ,มี อาจารย์วชรินทร์ อาจารย์ปัญญยศ อาจารย์มนตรี อาจารย์ธเนศ และ อาจารย์ดำรงค์ ครับ,null
